Abbottabad Heights Road, Abbottabad, Khyber Pakhtunkhwa
Abbottabad Road, Abbottabad, Khyber Pakhtunkhwa
Abbottabad Twp Road, Abbottabad, Khyber Pakhtunkhwa
Ali Town Housing Society, Abbottabad, Khyber Pakhtunkhwa
Allama Iqbal Town, Abbottabad, Khyber Pakhtunkhwa
Askari Housing Abbottabad, Abbottabad, Khyber Pakhtunkhwa
Ayub Medical Complex, Abbottabad, Khyber Pakhtunkhwa
Azam Road, Abbottabad, Khyber Pakhtunkhwa
Baldheri, Abbottabad, Khyber Pakhtunkhwa
Banda Ali Khan Road, Abbottabad, Khyber Pakhtunkhwa
Banda Sapan, Abbottabad, Khyber Pakhtunkhwa
Bara Gali, Abbottabad, Khyber Pakhtunkhwa
Bhu Mirpur, Abbottabad, Khyber Pakhtunkhwa
Bilal Town, Abbottabad, Khyber Pakhtunkhwa
Bilqias Town, Abbottabad, Khyber Pakhtunkhwa
Cantt, Abbottabad, Khyber Pakhtunkhwa
Chinar Road, Abbottabad, Khyber Pakhtunkhwa
Chunakari Road, Abbottabad, Khyber Pakhtunkhwa
Circular Road, Abbottabad, Khyber Pakhtunkhwa
College Road, Abbottabad, Khyber Pakhtunkhwa
Dar Ul Khair, Abbottabad, Khyber Pakhtunkhwa
Galiyat, Abbottabad, Khyber Pakhtunkhwa
Gohar Ayub Town, Abbottabad, Khyber Pakhtunkhwa
Gulberg Colony, Abbottabad, Khyber Pakhtunkhwa
Gulfam Town Society, Abbottabad, Khyber Pakhtunkhwa
Habibullah Colony, Abbottabad, Khyber Pakhtunkhwa
Hassan Town, Abbottabad, Khyber Pakhtunkhwa
Havelian, Abbottabad, Khyber Pakhtunkhwa
Iqbal Road, Abbottabad, Khyber Pakhtunkhwa
Javaid Shahid Road, Abbottabad, Khyber Pakhtunkhwa
Jhandala Road, Abbottabad, Khyber Pakhtunkhwa
Jhangi Qazian, Abbottabad, Khyber Pakhtunkhwa
Jhangi Syedan, Abbottabad, Khyber Pakhtunkhwa
Jharian Road, Abbottabad, Khyber Pakhtunkhwa
Jinnahabad, Abbottabad, Khyber Pakhtunkhwa
Jubilee Town, Abbottabad, Khyber Pakhtunkhwa
Kaghan Colony, Abbottabad, Khyber Pakhtunkhwa
Kakul, Abbottabad, Khyber Pakhtunkhwa
Kakul Road, Abbottabad, Khyber Pakhtunkhwa
Kala Bagh, Abbottabad, Khyber Pakhtunkhwa
Karakoram Highway, Abbottabad, Khyber Pakhtunkhwa
Karimpura Bazar, Abbottabad, Khyber Pakhtunkhwa
Kathwal, Abbottabad, Khyber Pakhtunkhwa
Kecheri Road, Abbottabad, Khyber Pakhtunkhwa
